ciclo,edad,area,competencia,capacidad,criterio
ciclo-II,4 años,Personal Social,"Construye su identidad, como persona humana, amada por Dios, digna, libre y trascendente, comprendiendo la doctrina de su propia religión, abierto al diálogo con las que le son cercanas","Conoce a Dios y asume su identidad religiosa y espiritual como persona digna, libre y trascendente","Expresa, por propia iniciativa, el amor y cuidado que recibe de su entorno como un indicio del amor de Dios. Lo hace a través de la interacción con los otros, al realizar acciones como compartir, ayudar y colaborar."
ciclo-II,4 años,Personal Social,"Construye su identidad, como persona humana, amada por Dios, digna, libre y trascendente, comprendiendo la doctrina de su propia religión, abierto al diálogo con las que le son cercanas","Conoce a Dios y asume su identidad religiosa y espiritual como persona digna, libre y trascendente",Participa por iniciativa propia del cuidado de la Creación en el lugar en donde se encuentra.
ciclo-II,4 años,Personal Social,"Construye su identidad, como persona humana, amada por Dios, digna, libre y trascendente, comprendiendo la doctrina de su propia religión, abierto al diálogo con las que le son cercanas",Cultiva y valora las manifestaciones religiosas de su entorno argumentando su fe de manera comprensible y respetuosa,Demuestra su amor al prójimo acogiendo y siendo solidario con los que necesitan ayuda en su entorno más cercano.
ciclo-II,4 años,Personal Social,"Construye su identidad, como persona humana, amada por Dios, digna, libre y trascendente, comprendiendo la doctrina de su propia religión, abierto al diálogo con las que le son cercanas",Cultiva y valora las manifestaciones religiosas de su entorno argumentando su fe de manera comprensible y respetuosa,Participa en las prácticas de la confesión religiosa de sus padres y lo comenta a sus compañeros de aula y comunidad educativa.
ciclo-II,4 años,Personal Social,Convive y participa democráticamente en la búsqueda del bien común,Construye normas y asume acuerdos y leyes,"Realiza actividades cotidianas con sus compañeros y se interesa por conocer sus costumbres, así como los lugares de los que proceden."
ciclo-II,4 años,Personal Social,Convive y participa democráticamente en la búsqueda del bien común,Interactúa con todas las personas,"Colabora en actividades colectivas orientadas al cuidado de los recursos, materiales y espacios compartidos."
ciclo-II,4 años,Personal Social,Convive y participa democráticamente en la búsqueda del bien común,Interactúa con todas las personas,"Se relaciona con adultos de su entorno, juega con otros niños y se integra en actividades grupales del aula. Propone ideas de juego y las normas del mismo, sigue las reglas de los demás de acuerdo con sus intereses."
ciclo-II,4 años,Personal Social,Convive y participa democráticamente en la búsqueda del bien común,Participa en acciones que promueven el bienestar común,"Participa en la construcción colectiva de acuerdos y normas, basados en el respeto y el bienestar de todos. Muestra comportamientos de acuerdo con las normas de convivencia asumidos."
ciclo-II,4 años,Psicomotriz,Se desenvuelve de manera autónoma a través de su motricidad,Comprende su cuerpo,Identifica las sensaciones que experimenta su cuerpo durante el movimiento y el juego
ciclo-II,4 años,Psicomotriz,Se desenvuelve de manera autónoma a través de su motricidad,Se expresa corporalmente,Coordina sus movimientos en actividades de equilibrio desplazamiento y manipulación de objetos participando con agrado en juego libre y dirigido
ciclo-II,5 años,Castellano como Segunda Lengua,Se comunica oralmente en castellano como segunda lengua,Infiere e interpreta información del texto oral,Responde a un interlocutor (compañero de clases o docente) utilizando palabras y frases de su lengua materna.
ciclo-II,5 años,Castellano como Segunda Lengua,Se comunica oralmente en castellano como segunda lengua,Obtiene información del texto oral,"Recupera información explícita (algunos hechos y lugares, el nombre de personas y personajes) de un texto oral donde predominan palabras de uso frecuente (IE, familia y comunidad) y son expresados con apoyo de gestos, expresiones corporales y tono de voz del interlocutor."
ciclo-II,5 años,Ciencia y Tecnología,Indaga mediante métodos científicos para construir sus conocimientos,Analiza datos e información,"Compara sus explicaciones y predicciones con los datos e información que ha obtenido, y participa en la construcción de las conclusiones."
ciclo-II,5 años,Ciencia y Tecnología,Indaga mediante métodos científicos para construir sus conocimientos,Diseña estrategias para hacer indagación,"Propone acciones, y el uso de materiales e instrumentos para buscar información del objeto, ser vivo o hecho de interés que genera interrogantes, o para resolver un problema planteado."
ciclo-II,5 años,Ciencia y Tecnología,Indaga mediante métodos científicos para construir sus conocimientos,Evalúa y comunica el proceso y resultado de su indagación,"Comunica —de manera verbal, a través de dibujos, fotos, modelado o según su nivel de escritura— las acciones que realizó para obtener información. Comparte sus resultados y lo que aprendió."
ciclo-II,5 años,Ciencia y Tecnología,Indaga mediante métodos científicos para construir sus conocimientos,Genera y registra datos o información,"Obtiene información sobre las características de los objetos, seres vivos, hechos y fenómenos de la naturaleza, y establece relaciones entre ellos a través de la observación, experimentación y otras fuentes proporcionadas. Describe sus características, necesidades, funciones, relaciones o cambios en su apariencia física. Registra la información de diferentes formas (con fotos, dibujos, modelado o de acuerdo con su nivel de escritura)."
ciclo-II,5 años,Ciencia y Tecnología,Indaga mediante métodos científicos para construir sus conocimientos,Problematiza situaciones para hacer indagación,"Hace preguntas que expresan su curiosidad sobre los objetos, seres vivos, hechos o fenómenos que acontecen en su ambiente; da a conocer lo que sabe y las ideas que tiene acerca de ellos. Plantea posibles explicaciones y/o alternativas de solución frente a una pregunta o situación problemática."
ciclo-II,5 años,Comunicación,Crea proyectos desde los lenguajes artísticos,Aplica procesos creativos,"Representa ideas acerca de sus vivencias personales y del contexto en el que se desenvuelve usando diferentes lenguajes artísticos (el dibujo, la pintura, la danza o el movimiento, el teatro, la música, los títeres, etc.)."
ciclo-II,5 años,Comunicación,Crea proyectos desde los lenguajes artísticos,Explora y experimenta los lenguajes del arte,Explora de manera individual y/o grupal diversos materiales de acuerdo con sus necesidades e intereses. Descubre los efectos que se producen al combinar un material con otro.
ciclo-II,5 años,Comunicación,Crea proyectos desde los lenguajes artísticos,Socializa sus procesos y proyectos,"Muestra sus creaciones y observa las creaciones de otros. Describe lo que ha creado. A solicitud del docente, manifiesta lo que le gusta de la experiencia, o de su proyecto y del proyecto de otros."
ciclo-II,5 años,Comunicación,Escribe diversos tipos de textos en su lengua materna,Adecúa el texto a la situación comunicativa,"Escribe por propia iniciativa y a su manera sobre lo que le interesa: considera a quién le escribirán y para qué lo escribirá; utiliza trazos, grafismos, letras ordenadas de izquierda a derecha y sobre una línea imaginaria para expresar sus ideas o emociones en torno a un tema a través de una nota o carta, para relatar una vivencia o un cuento."
ciclo-II,5 años,Comunicación,Escribe diversos tipos de textos en su lengua materna,Organiza y desarrolla las ideas de forma coherente y cohesionada,"Revisa el escrito que ha dictado, en función de lo que quiere comunicar."
ciclo-II,5 años,Comunicación,Lee diversos tipos de textos escritos en lengua materna,Infiere e interpreta información del texto escrito,"Dice de qué tratará, cómo continuará o cómo terminará el texto a partir de algunos indicios, como el título, las ilustraciones, palabras, expresiones o sucesos significativos, que observa o escucha antes y durante la lectura que realiza (por sí mismo o a través de un adulto)."
ciclo-II,5 años,Comunicación,Lee diversos tipos de textos escritos en lengua materna,Obtiene información del texto escrito,"Identifica características de personas, personajes, animales, objetos o acciones a partir de lo que observa en las ilustraciones, así como de algunas palabras conocidas por él: su nombre o el de otros, palabras que aparecen frecuentemente en los cuentos, canciones, rondas, rimas, anuncios publicitarios o carteles del aula que se presentan en variados soportes."
ciclo-II,5 años,Comunicación,Lee diversos tipos de textos escritos en lengua materna,"Reflexiona y evalúa la forma, el contenido y contexto del texto escrito","Opina dando razones sobre algún aspecto del texto leído (por sí mismo o a través de un adulto), a partir de sus intereses y experiencia."
ciclo-II,5 años,Comunicación,Se comunica oralmente en su lengua materna,"Adecúa, organiza y desarrolla el texto de forma coherente y cohesionada","Recupera información explícita de un texto oral. Menciona algunos hechos y lugares, el nombre de personas y personajes. Sigue indicaciones orales o vuelve a contar con sus propias palabras los sucesos que más le gustaron."
ciclo-II,5 años,Comunicación,Se comunica oralmente en su lengua materna,Infiere e interpreta información del texto oral,"Participa en conversaciones, diálogos o escucha cuentos, leyendas, rimas, adivinanzas y otros relatos de la tradición oral. Espera su turno para hablar, escucha mientras su interlocutor habla, pregunta y responde sobre lo que le interesa saber o lo que no ha comprendido."
ciclo-II,5 años,Comunicación,Se comunica oralmente en su lengua materna,Interactúa estratégicamente con distintos interlocutores,"Comenta sobre lo que le gusta o disgusta de personas, personajes, hechos o situaciones de la vida cotidiana dando razones sencillas a partir de sus experiencias y del contexto en que se desenvuelve."
ciclo-II,5 años,Comunicación,Se comunica oralmente en su lengua materna,Obtiene información del texto oral,"Expresa sus necesidades, emociones, intereses y da cuenta de sus experiencias al interactuar con personas de su entorno familiar, escolar o local. Utiliza palabras de uso frecuente y, estratégicamente, sonrisas, miradas, señas, gestos, movimientos corporales y diversos volúmenes de voz, según su interlocutor y propósito. Desarrolla sus ideas en torno a un tema, aunque en ocasiones puede salirse de este."
ciclo-II,5 años,Comunicación,Se comunica oralmente en su lengua materna,Utiliza recursos no verbales y paraverbales de forma estratégica,"Deduce relaciones de causa-efecto, así como características de personas, personajes, animales y objetos en anécdotas, cuentos, leyendas y rimas orales."
ciclo-II,5 años,Matemática,Resuelve problemas de cantidad,Comunica su comprensión sobre los números y las operaciones,"Realiza seriaciones por tamaño, longitud y grosor hasta con cinco objetos."
ciclo-II,5 años,Matemática,Resuelve problemas de cantidad,Comunica su comprensión sobre los números y las operaciones,"Utiliza el conteo hasta 10, en situaciones cotidianas en las que requiere contar, empleando material concreto o su propio cuerpo."
ciclo-II,5 años,Matemática,Resuelve problemas de cantidad,Traduce cantidades a expresiones numéricas,"Establece relaciones entre los objetos de su entorno según sus características perceptuales al comparar y agrupar, y dejar algunos elementos sueltos. El niño dice el criterio que usó para agrupar."
ciclo-II,5 años,Matemática,Resuelve problemas de cantidad,Traduce cantidades a expresiones numéricas,"Usa diversas expresiones que muestran su comprensión sobre la cantidad, el peso y el tiempo — 'muchos', 'pocos', 'ninguno', 'más que', 'menos que', 'pesa más', 'pesa menos', 'ayer', 'hoy' y 'mañana' — en situaciones cotidianas."
ciclo-II,5 años,Matemática,Resuelve problemas de cantidad,Traduce cantidades a expresiones numéricas,"Utiliza el conteo en situaciones cotidianas en las que requiere juntar, agregar o quitar hasta cinco objetos."
ciclo-II,5 años,Matemática,Resuelve problemas de cantidad,Usa estrategias y procedimientos de estimación y cálculo,Establece correspondencia uno a uno en situaciones cotidianas.
ciclo-II,5 años,Matemática,Resuelve problemas de cantidad,Usa estrategias y procedimientos de estimación y cálculo,"Utiliza los números ordinales 'primero', 'segundo', 'tercero', 'cuarto' y 'quinto' para establecer el lugar o posición de un objeto o persona."
ciclo-II,5 años,Matemática,"Resuelve problemas de forma, movimiento y localización",Comunica su comprensión sobre las formas y relaciones geométricas,"Establece relaciones de medida en situaciones cotidianas y usa expresiones como 'es más largo', 'es más corto'."
ciclo-II,5 años,Matemática,"Resuelve problemas de forma, movimiento y localización",Comunica su comprensión sobre las formas y relaciones geométricas,"Prueba diferentes formas de resolver una determinada situación relacionada con la ubicación, desplazamiento en el espacio y la construcción de objetos con material concreto. Elige una manera para lograr su propósito y dice por qué la usó."
ciclo-II,5 años,Matemática,"Resuelve problemas de forma, movimiento y localización",Modela objetos con formas geométricas y sus transformaciones,"Establece relaciones entre las formas de los objetos que están en su entorno y las formas geométricas que conoce, utilizando material concreto."
ciclo-II,5 años,Matemática,"Resuelve problemas de forma, movimiento y localización",Modela objetos con formas geométricas y sus transformaciones,"Expresa con material concreto y dibujos sus vivencias, en los que muestra relaciones espaciales y de medida entre personas y objetos."
ciclo-II,5 años,Matemática,"Resuelve problemas de forma, movimiento y localización",Usa estrategias y procedimientos para orientarse en el espacio,"Se ubica a sí mismo y ubica objetos en el espacio; establece relaciones espaciales al orientar sus movimientos y acciones al desplazarse. Las expresa con su cuerpo o algunas palabras como 'cerca de', 'lejos de', 'al lado de', 'hacia adelante', 'hacia atrás', 'hacia un lado', 'hacia el otro lado'."
ciclo-II,5 años,Personal Social,Construye su identidad,Autorregula sus emociones,Busca la compañía y consuelo del adulto en situaciones en que lo requiere. Utiliza la palabra para expresar y explicar lo que le sucede. Reconoce los límites establecidos para su seguridad y contención.
ciclo-II,5 años,Personal Social,Construye su identidad,Autorregula sus emociones,"Participa de diferentes acciones de juego o de la vida cotidiana asumiendo distintos roles, sin hacer distinciones de género."
ciclo-II,5 años,Personal Social,Construye su identidad,Autorregula sus emociones,"Toma la iniciativa para realizar acciones de cuidado personal, de manera autónoma, y da razón sobre las decisiones que toma."
ciclo-II,5 años,Personal Social,Construye su identidad,Se valora a sí mismo,"Expresa sus emociones; utiliza palabras, gestos y movimientos corporales e identifica las causas que las originan. Reconoce las emociones de los demás, y muestra su simpatía, desacuerdo o preocupación."
ciclo-II,5 años,Personal Social,Construye su identidad,Se valora a sí mismo,"Reconoce sus intereses, preferencias, características físicas y cualidades, las diferencia de las de los otros a través de palabras o acciones."
ciclo-II,5 años,Personal Social,Construye su identidad,Se valora a sí mismo,"Se reconoce como parte de su familia, grupo de aula e IE. Comparte hechos y momentos importantes de su historia familiar."
ciclo-II,5 años,Personal Social,"Construye su identidad, como persona humana, amada por Dios, digna, libre y trascendente, comprendiendo la doctrina de su propia religión, abierto al diálogo con las que le son cercanas","Conoce a Dios y asume su identidad religiosa y espiritual como persona digna, libre y trascendente","Expresa por propia iniciativa el amor y cuidado que recibe de su entorno, como un indicio del amor de Dios. Lo hace a través de la interacción con los otros, al realizar acciones como compartir, ayudar y colaborar."
ciclo-II,5 años,Personal Social,"Construye su identidad, como persona humana, amada por Dios, digna, libre y trascendente, comprendiendo la doctrina de su propia religión, abierto al diálogo con las que le son cercanas","Conoce a Dios y asume su identidad religiosa y espiritual como persona digna, libre y trascendente",Participa del uso responsable de los recursos creados por Dios en su entorno.
ciclo-II,5 años,Personal Social,"Construye su identidad, como persona humana, amada por Dios, digna, libre y trascendente, comprendiendo la doctrina de su propia religión, abierto al diálogo con las que le son cercanas",Cultiva y valora las manifestaciones religiosas de su entorno argumentando su fe de manera comprensible y respetuosa,Demuestra su amor al prójimo respetando y siendo solidario con los que necesitan de su ayuda material y espiritual.
ciclo-II,5 años,Personal Social,"Construye su identidad, como persona humana, amada por Dios, digna, libre y trascendente, comprendiendo la doctrina de su propia religión, abierto al diálogo con las que le son cercanas",Cultiva y valora las manifestaciones religiosas de su entorno argumentando su fe de manera comprensible y respetuosa,"Participa en las prácticas de la confesión religiosa de sus padres o comunidad —como rituales y fiestas—, y lo comparte con sus compañeros."
ciclo-II,5 años,Personal Social,Convive y participa democráticamente en la búsqueda del bien común,Construye normas y asume acuerdos y leyes,"Propone y colabora en actividades colectivas orientadas al cuidado de recursos, materiales y espacios compartidos."
ciclo-II,5 años,Personal Social,Convive y participa democráticamente en la búsqueda del bien común,Construye normas y asume acuerdos y leyes,"Realiza actividades cotidianas con sus compañeros, y se interesa por compartir las costumbres de su familia y conocer los lugares de donde proceden."
ciclo-II,5 años,Personal Social,Convive y participa democráticamente en la búsqueda del bien común,Interactúa con todas las personas,"Asume responsabilidades en su aula para colaborar con el orden, limpieza y bienestar de todos."
ciclo-II,5 años,Personal Social,Convive y participa democráticamente en la búsqueda del bien común,Interactúa con todas las personas,"Se relaciona con adultos de su entorno, juega con otros niños y se integra en actividades grupales del aula. Propone ideas de juego y sus normas. Se pone de acuerdo con el grupo para elegir un juego y las reglas del mismo."
ciclo-II,5 años,Personal Social,Convive y participa democráticamente en la búsqueda del bien común,Participa en acciones que promueven el bienestar común,Participa en la construcción colectiva de acuerdos y normas basadas en el respeto y el bienestar de todos considerando las situaciones que afectan o incomodan a todo el grupo.
ciclo-II,5 años,Psicomotriz,Se desenvuelve de manera autónoma a través de su motricidad,Comprende su cuerpo,Reconoce las partes de su cuerpo y sus posibilidades de movimiento identificando sensaciones que experimenta durante el movimiento y el juego
ciclo-II,5 años,Psicomotriz,Se desenvuelve de manera autónoma a través de su motricidad,Se expresa corporalmente,Expresa emociones e ideas a través del movimiento el juego y la danza coordinando sus movimientos en equilibrio desplazamiento y manipulación de objetos
ciclo-II,3 años,Castellano como Segunda Lengua,Se comunica oralmente en castellano como segunda lengua,Obtiene información del texto oral,"Escucha y muestra interés ante canciones, saludos y palabras sencillas en castellano, respondiendo con gestos, expresiones corporales o palabras de su lengua materna."
ciclo-II,3 años,Castellano como Segunda Lengua,Se comunica oralmente en castellano como segunda lengua,Infiere e interpreta información del texto oral,"Asocia palabras frecuentes en castellano con objetos o situaciones de su entorno, apoyándose en gestos y expresiones corporales del interlocutor."
ciclo-II,4 años,Castellano como Segunda Lengua,Se comunica oralmente en castellano como segunda lengua,Obtiene información del texto oral,"Obtiene información simple de palabras frecuentes en castellano acompañadas de gestos de su interlocutor, respondiendo mediante expresiones corporales o palabras aisladas en su lengua materna."
ciclo-II,4 años,Castellano como Segunda Lengua,Se comunica oralmente en castellano como segunda lengua,Infiere e interpreta información del texto oral,"Comprende el sentido general de textos orales sencillos en castellano apoyándose en imágenes, gestos y tono de voz del interlocutor, respondiendo con gestos o su lengua materna."
ciclo-I,1 año,Psicomotriz,Se desenvuelve de manera autónoma a través de su motricidad,Comprende su cuerpo,"Explora su cuerpo y el espacio de manera autónoma usando sus sentidos y posibilidades de movimiento; reacciona ante estímulos táctiles, sonoros y visuales mostrando agrado o desagrado."
ciclo-I,1 año,Psicomotriz,Se desenvuelve de manera autónoma a través de su motricidad,Se expresa corporalmente,"Expresa sus emociones y estados de ánimo a través de movimientos corporales, gestos, posturas y tono muscular, mostrando comodidad en el movimiento libre y en la exploración de su entorno inmediato."
ciclo-I,2 años,Psicomotriz,Se desenvuelve de manera autónoma a través de su motricidad,Comprende su cuerpo,"Explora su cuerpo y el espacio cercano desde su iniciativa, desplazándose con mayor control de sus movimientos y reconociendo progresivamente sus posibilidades motrices."
ciclo-I,2 años,Psicomotriz,Se desenvuelve de manera autónoma a través de su motricidad,Se expresa corporalmente,"Expresa emociones, sensaciones e intereses a través de movimientos, posturas, gestos y juego espontáneo; muestra iniciativa para desplazarse y explorar nuevos espacios con seguridad afectiva."
ciclo-II,3 años,Castellano como Segunda Lengua,Se comunica oralmente en castellano como segunda lengua,"Adecúa, organiza y desarrolla el texto de forma coherente y cohesionada","Expresa ideas muy sencillas en castellano (palabras sueltas o frases simples) apoyándose en gestos y su lengua materna, adaptando su comunicación al contexto inmediato del aula."
ciclo-II,3 años,Castellano como Segunda Lengua,Se comunica oralmente en castellano como segunda lengua,Utiliza recursos no verbales y paraverbales de forma estratégica,"Acompaña sus intentos de comunicación en castellano con gestos, movimientos corporales, expresiones faciales y tono de voz para hacerse entender."
ciclo-II,3 años,Castellano como Segunda Lengua,Se comunica oralmente en castellano como segunda lengua,Interactúa estratégicamente con distintos interlocutores,"Participa en interacciones simples en castellano con su docente y compañeros (saludos, responder su nombre) respetando turnos con apoyo del adulto."
ciclo-II,3 años,Castellano como Segunda Lengua,Se comunica oralmente en castellano como segunda lengua,"Reflexiona y evalúa la forma, el contenido y contexto del texto oral","Muestra interés y curiosidad ante palabras y canciones en castellano, reconociendo que es una lengua diferente a la suya y que le sirve para comunicarse en el aula."
ciclo-II,4 años,Castellano como Segunda Lengua,Se comunica oralmente en castellano como segunda lengua,"Adecúa, organiza y desarrolla el texto de forma coherente y cohesionada","Expresa palabras y frases breves en castellano relacionadas con situaciones cotidianas del aula, apoyándose en su lengua materna y recursos no verbales."
ciclo-II,4 años,Castellano como Segunda Lengua,Se comunica oralmente en castellano como segunda lengua,Utiliza recursos no verbales y paraverbales de forma estratégica,"Usa gestos, expresiones corporales y tono de voz para complementar sus palabras en castellano y lograr comunicarse con el docente o compañeros en situaciones de juego."
ciclo-II,4 años,Castellano como Segunda Lengua,Se comunica oralmente en castellano como segunda lengua,Interactúa estratégicamente con distintos interlocutores,"Participa en conversaciones simples en castellano con el docente y sus pares, respondiendo con palabras aisladas o frases cortas en situaciones cotidianas del aula."
ciclo-II,4 años,Castellano como Segunda Lengua,Se comunica oralmente en castellano como segunda lengua,"Reflexiona y evalúa la forma, el contenido y contexto del texto oral","Identifica que el castellano es la lengua que se usa en contextos del aula y la comunidad, diferenciándola de su lengua materna, y muestra disposición para aprenderla."
ciclo-II,5 años,Castellano como Segunda Lengua,Se comunica oralmente en castellano como segunda lengua,"Adecúa, organiza y desarrolla el texto de forma coherente y cohesionada",Se comunica mediante palabras y frases breves en castellano adaptando su mensaje al interlocutor (docente o pares) y al propósito de la interacción en el aula.
ciclo-II,5 años,Castellano como Segunda Lengua,Se comunica oralmente en castellano como segunda lengua,Utiliza recursos no verbales y paraverbales de forma estratégica,"Emplea gestos, movimientos corporales y tono de voz de forma intencional para reforzar su comunicación en castellano y hacerse entender en distintas situaciones del aula."
ciclo-II,5 años,Castellano como Segunda Lengua,Se comunica oralmente en castellano como segunda lengua,Interactúa estratégicamente con distintos interlocutores,"Intercambia roles de hablante y oyente en conversaciones simples en castellano con el docente y compañeros, participando de forma pertinente para lograr comunicarse."
ciclo-II,5 años,Castellano como Segunda Lengua,Se comunica oralmente en castellano como segunda lengua,"Reflexiona y evalúa la forma, el contenido y contexto del texto oral","Distingue el castellano como una segunda lengua usada en el aula y la comunidad, y reflexiona sobre palabras o frases que comprende o no, con apoyo del docente."
ciclo-II,5 años,Competencias Transversales,Se desenvuelve en los entornos virtuales generados por las TIC,Personaliza entornos virtuales,"Explora, con el acompañamiento del docente, entornos virtuales y dispositivos tecnológicos, como grabador de sonido o de video, cámara fotográfica, radio, computadora o tablet, y reconoce algunas funciones básicas para su uso y cuidado."
ciclo-II,5 años,Competencias Transversales,Se desenvuelve en los entornos virtuales generados por las TIC,Gestiona información del entorno virtual,"Explora, con el acompañamiento del docente, entornos virtuales y dispositivos tecnológicos, como grabador de sonido o de video, cámara fotográfica, radio, computadora o tablet, y reconoce algunas funciones básicas para su uso y cuidado."
ciclo-II,5 años,Competencias Transversales,Se desenvuelve in los entornos virtuales generados por las TIC,Crea objetos virtuales en diversos formatos,"Produce imágenes, audio o videos para comunicar ideas, hallazgos, afectos o registrar un acontecimiento utilizando dispositivos y herramientas tecnológicas."
ciclo-II,5 años,Competencias Transversales,Gestiona su aprendizaje de manera autónoma,Define metas de aprendizaje,"Reflexiona, con ayuda del docente, sobre aquello que necesita hacer para realizar una “tarea” de interés –a nivel individual o grupal– tomando en cuenta sus experiencias y saberes previos al respecto."
ciclo-II,5 años,Competencias Transversales,Gestiona su aprendizaje de manera autónoma,Organiza acciones estratégicas para alcanzar sus metas de aprendizaje,"Plantea, con ayuda del docente, una estrategia o acciones a realizar para poder alcanzar la “tarea” propuesta."
ciclo-II,5 años,Competencias Transversales,Gestiona su aprendizaje de manera autónoma,Monitorea y ajusta su desempeño durante el proceso de aprendizaje,"Revisa su actuar con relación a las estrategias que aplica para realizar la “tarea” y explica, con ayuda del adulto, las acciones que realizó para lograrla y las dificultades que tuvo (si las hubo), o los cambios en su estrategia. Comunica lo que aprendió y muestra interés por aplicar lo aprendido."
