ciclo,edad,area,competencia,capacidad,criterio
ciclo-I,2 años,Descubrimiento del Mundo,Indaga mediante métodos científicos para construir sus conocimientos,Genera y registra datos o información,"Explora desde su iniciativa los hechos que ocurren en su entorno. Explora y hace uso de los objetos que están a su alcance, según sus características, para resolver problemas cotidianos, y experimenta con sus propiedades; descubre los efectos que sus acciones producen sobre ellos."
ciclo-I,2 años,Descubrimiento del Mundo,Resuelve problemas de cantidad,Comunica su comprensión sobre los números y las operaciones,"Utiliza gestos, movimientos y otras expresiones no verbales y verbales, en respuesta a preguntas o expresiones que surgen en la vida cotidiana, y están relacionadas con la cantidad y el tiempo."
ciclo-I,2 años,Descubrimiento del Mundo,Resuelve problemas de cantidad,Comunica su comprensión sobre los números y las operaciones,"Utiliza gestos, movimientos y/u otras expresiones no verbales en respuesta a preguntas o expresiones que surgen en la vida cotidiana relacionadas con la cantidad y el tiempo."
ciclo-I,2 años,Descubrimiento del Mundo,Resuelve problemas de cantidad,Traduce cantidades a expresiones numéricas,"Establece relaciones entre las características perceptuales de los objetos en su entorno, los agrupa, empareja, separa y ordena durante la exploración con todos sus sentidos, y según sus intereses y propios criterios."
ciclo-I,2 años,Descubrimiento del Mundo,Resuelve problemas de cantidad,Traduce cantidades a expresiones numéricas,"Establece relaciones entre las características perceptuales que le asigna a los objetos de su entorno, los junta o separa durante la exploración con todos sus sentidos, según sus intereses y con una intención determinada."
ciclo-I,2 años,Descubrimiento del Mundo,"Resuelve problemas de forma, movimiento y localización",Comunica su comprensión sobre las formas y relaciones geométricas,"Utiliza expresiones verbales y no verbales en su cotidianidad, como algunas palabras sencillas: 'arriba', 'abajo', 'dentro', 'fuera'."
ciclo-I,2 años,Descubrimiento del Mundo,"Resuelve problemas de forma, movimiento y localización",Modela objetos con formas geométricas y sus transformaciones,"Establece relaciones de espacio y medida, se organiza y organiza los objetos al sortear obstáculos que están en su camino, transportar los objetos, empujarlos, arrastrarlos u ordenarlos a partir de la exploración con su cuerpo y todos sus sentidos, y en interacción con los otros."
ciclo-I,2 años,Descubrimiento del Mundo,"Resuelve problemas de forma, movimiento y localización",Modela objetos con formas geométricas y sus transformaciones,"Establece relaciones de espacio y medida, se organiza y organiza los objetos al sortear obstáculos que están en su camino, transportar los objetos, empujarlos, arrastrarlos, encajarlos, apilarlos por formas similares u ordenarlos a partir de la exploración con su cuerpo y todos sus sentidos."
ciclo-I,2 años,Personal Social,Construye su identidad,Autorregula sus emociones,Toma la iniciativa para realizar actividades cotidianas de exploración y juego desde sus intereses. Participa con agrado e iniciativa en acciones de su cuidado.
ciclo-I,2 años,Personal Social,Construye su identidad,Autorregula sus emociones,"Toma la iniciativa para realizar actividades cotidianas de juego y algunas acciones de cuidado personal de acuerdo con sus intereses y posibilidades motrices, muestra alegría y orgullo por hacerlo. Solicita la ayuda del adulto cuando lo necesita."
ciclo-I,2 años,Personal Social,Construye su identidad,Se valora a sí mismo,"Expresa sus emociones a través de gestos, movimientos corporales o palabras, y reconoce algunas emociones en los demás cuando el adulto se lo menciona. Busca consuelo y atención del adulto para sentirse seguro y regular una emoción intensa. Tolera la espera de tiempos cortos y maneja la frustración de algunos deseos."
ciclo-I,2 años,Personal Social,Construye su identidad,Se valora a sí mismo,"Expresa sus emociones y responde a las expresiones emocionales de otros a través de palabras, risas, llantos, gestos o movimientos corporales. Busca consuelo y atención del adulto para sentirse seguro frente a una emoción intensa."
